:BeginHeader
Using satellite data from MODIS/AQUA
Match-up generation datetime: 2021-12-02T13:07:03
Investigator: ermaure
Contact: maure@npec.or.jp
Missing: -999
Delimiter: comma
Header rows: 14
VALIDATION CRITERIA applied to this match-up
-Box size of satellite extract: 5 x 5 = 25 pixels
-Minimum percent valid satellite pixels: 25.0
-Maximum time difference between satellite and in situ: 3 h
-Level-2 flags considered for data screening: ATMFAIL+LAND+CLDICE+CHLFAIL+NAVFAIL
:EndHeader
cruise,Year,Month,Day,Hour,Minute,Second,Lat,Lon,id,etopo2,chl,Datetime,Filename,Variable [Units],StartDatetime,EndDatetime,ValidPixels,InvalidPixels,Min,Max,Mean,STD,Median,PointValue,PixelValue01,PixelValue02,PixelValue03,PixelValue04,PixelValue05,PixelValue06,PixelValue07,PixelValue08,PixelValue09,PixelValue10,PixelValue11,PixelValue12,PixelValue13,PixelValue14,PixelValue15,PixelValue16,PixelValue17,PixelValue18,PixelValue19,PixelValue20,PixelValue21,PixelValue22,PixelValue23,PixelValue24,PixelValue25,PixelFlags01,PixelFlags02,PixelFlags03,PixelFlags04,PixelFlags05,PixelFlags06,PixelFlags07,PixelFlags08,PixelFlags09,PixelFlags10,PixelFlags11,PixelFlags12,PixelFlags13,PixelFlags14,PixelFlags15,PixelFlags16,PixelFlags17,PixelFlags18,PixelFlags19,PixelFlags20,PixelFlags21,PixelFlags22,PixelFlags23,PixelFlags24,PixelFlags25
bats173,2003,2,22,17,6,0,32.1844,-64.4933,462.0,3013.0,0.382,2003-02-22T17:06:00,A2003053173000.L2_LAC_OC.nc,chlor_a [mg m^-3],2003-02-22T17:30:01,2003-02-22T17:34:59,25,0,0.18249367,0.22369322,0.19178373,1.04818121,0.18931249,0.18527432,0.18420769,0.18249367,0.18867147,0.18931249,0.22369322,0.18360637,0.18702547,0.18845975,0.18861957,0.20044877,0.18801665,0.19842422,0.18527432,0.19153753,0.21754237,0.19140372,0.19413947,0.18574724,0.18388292,0.19424576,0.19086196,0.19171247,0.19033164,0.18870822,0.19171168,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT
bats173,2003,2,22,17,6,0,32.1844,-64.4933,462.0,3013.0,0.382,2003-02-22T17:06:00,A2003053173000.L2_LAC_OC.nc,Rrs_412 [sr^-1],2003-02-22T17:30:01,2003-02-22T17:34:59,25,0,0.00575400,0.00635000,0.00611640,0.00013133,0.00615800,0.00620600,0.00597800,0.00608400,0.00600000,0.00603400,0.00575400,0.00616600,0.00617200,0.00606200,0.00609200,0.00589200,0.00620400,0.00627000,0.00620600,0.00612200,0.00595400,0.00635000,0.00619200,0.00624800,0.00624800,0.00602000,0.00617400,0.00625400,0.00615800,0.00618800,0.00608800,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT
bats173,2003,2,22,17,6,0,32.1844,-64.4933,462.0,3013.0,0.382,2003-02-22T17:06:00,A2003053173000.L2_LAC_OC.nc,Rrs_443 [sr^-1],2003-02-22T17:30:01,2003-02-22T17:34:59,25,0,0.00459000,0.00504400,0.00489384,0.00011501,0.00491200,0.00485000,0.00483800,0.00495200,0.00485400,0.00492800,0.00459000,0.00491000,0.00494200,0.00489400,0.00502600,0.00473400,0.00503400,0.00491600,0.00485000,0.00491200,0.00459200,0.00498600,0.00496600,0.00494600,0.00504400,0.00480000,0.00489600,0.00502200,0.00485600,0.00496000,0.00489800,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT
bats173,2003,2,22,17,6,0,32.1844,-64.4933,462.0,3013.0,0.382,2003-02-22T17:06:00,A2003053173000.L2_LAC_OC.nc,Rrs_488 [sr^-1],2003-02-22T17:30:01,2003-02-22T17:34:59,25,0,0.00401400,0.00429600,0.00420168,0.00007325,0.00422800,0.00416400,0.00418600,0.00423200,0.00417600,0.00421000,0.00401400,0.00428600,0.00429200,0.00419400,0.00422800,0.00408400,0.00427000,0.00424600,0.00416400,0.00424600,0.00404800,0.00429600,0.00423400,0.00420400,0.00426000,0.00409200,0.00423200,0.00425800,0.00417400,0.00424800,0.00416800,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT
bats173,2003,2,22,17,6,0,32.1844,-64.4933,462.0,3013.0,0.382,2003-02-22T17:06:00,A2003053173000.L2_LAC_OC.nc,Rrs_531 [sr^-1],2003-02-22T17:30:01,2003-02-22T17:34:59,25,0,0.00200400,0.00215400,0.00207520,0.00003416,0.00207600,0.00204400,0.00200400,0.00203800,0.00206400,0.00209000,0.00209800,0.00203400,0.00204600,0.00203400,0.00208800,0.00206600,0.00211200,0.00211600,0.00204400,0.00206200,0.00213800,0.00207600,0.00210600,0.00208400,0.00207800,0.00208800,0.00207200,0.00215400,0.00205400,0.00204200,0.00209200,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT
bats173,2003,2,22,17,6,0,32.1844,-64.4933,462.0,3013.0,0.382,2003-02-22T17:06:00,A2003053173000.L2_LAC_OC.nc,Rrs_547 [sr^-1],2003-02-22T17:30:01,2003-02-22T17:34:59,25,0,0.00157400,0.00169400,0.00163416,0.00003103,0.00163200,0.00158400,0.00157400,0.00159600,0.00160600,0.00163200,0.00169400,0.00159000,0.00162200,0.00161800,0.00166000,0.00162800,0.00165800,0.00168000,0.00158400,0.00164000,0.00166400,0.00166400,0.00167400,0.00161400,0.00163400,0.00161800,0.00163200,0.00167800,0.00161600,0.00164000,0.00163800,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT
bats173,2003,2,22,17,6,0,32.1844,-64.4933,462.0,3013.0,0.382,2003-02-22T17:06:00,A2003053173000.L2_LAC_OC.nc,Rrs_645 [sr^-1],2003-02-22T17:30:01,2003-02-22T17:34:59,25,0,0.00011000,0.00024800,0.00018520,0.00003284,0.00018600,0.00018400,0.00016600,0.00020800,0.00016800,0.00016600,0.00020400,0.00017600,0.00016200,0.00011000,0.00015200,0.00015800,0.00022000,0.00019000,0.00018400,0.00024800,0.00020800,0.00018800,0.00020200,0.00020600,0.00024800,0.00019400,0.00016400,0.00018600,0.00018000,0.00011800,0.00022400,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT
bats173,2003,2,22,17,6,0,32.1844,-64.4933,462.0,3013.0,0.382,2003-02-22T17:06:00,A2003053173000.L2_LAC_OC.nc,Rrs_667 [sr^-1],2003-02-22T17:30:01,2003-02-22T17:34:59,25,0,0.00015000,0.00021800,0.00018104,0.00001603,0.00018000,0.00017400,0.00015000,0.00016400,0.00017000,0.00016400,0.00018600,0.00017400,0.00019600,0.00017000,0.00017400,0.00016200,0.00018600,0.00020600,0.00017400,0.00017600,0.00021800,0.00018800,0.00019200,0.00019200,0.00018400,0.00019400,0.00017800,0.00020800,0.00018400,0.00015600,0.00018000,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT
bats173,2003,2,22,17,6,0,32.1844,-64.4933,462.0,3013.0,0.382,2003-02-22T17:06:00,A2003053173000.L2_LAC_OC.nc,Rrs_678 [sr^-1],2003-02-22T17:30:01,2003-02-22T17:34:59,25,0,0.00017200,0.00023000,0.00019992,0.00001355,0.00020000,0.00019800,0.00017200,0.00020000,0.00019400,0.00019800,0.00023000,0.00019600,0.00020600,0.00020800,0.00020200,0.00020800,0.00020200,0.00021800,0.00019800,0.00018200,0.00022000,0.00019600,0.00020200,0.00019000,0.00020000,0.00020800,0.00017800,0.00022200,0.00018200,0.00018800,0.00019800,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT
bats174a,2003,4,2,16,25,0,32.2519,-64.2636,472.0,4054.0,0.269,2003-04-02T16:25:00,A2003092173500.L2_LAC_OC.nc,chlor_a [mg m^-3],2003-04-02T17:35:01,2003-04-02T17:40:00,25,0,0.15202369,0.16111244,0.15725192,1.01375641,0.15716292,0.15716292,0.15566051,0.15549898,0.15640752,0.15626754,0.15202369,0.15853313,0.15708083,0.15553196,0.15477687,0.15519875,0.15759653,0.15511833,0.15716292,0.15903196,0.16087875,0.15838569,0.16111244,0.15831271,0.15541065,0.15809506,0.15835682,0.16036406,0.15909411,0.15988950,0.15587516,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT,MODGLINT+PRODFAIL,MODGLINT+PRODFAIL,MODGLINT,MODGLINT+PRODFAIL,MODGLINT,MODGLINT,MODGLINT,MODGLINT
