cruise,year,month,day,hour,minute,second,lat,lon,id,etopo2,chl
ace0301,2003,4,15,15,15,0,38.4279,-76.61,1565.0,0.0,38.19
ace0301,2003,4,15,16,50,0,38.368,-76.5,1566.0,0.0,35.01
ace0301,2003,4,15,17,50,0,38.3074,-76.44,1567.0,1.0,26.91
ace0301,2003,4,17,18,15,0,38.6367,-76.32,1568.0,3.0,47.96
ace0302,2003,7,21,18,27,0,38.3047,-76.44,1559.0,1.0,23.55
ace0302,2003,7,23,15,58,0,38.636,-76.16,1562.0,1.0,23.97
ace0302,2003,7,23,17,33,0,38.6417,-76.32,1563.0,3.0,19.15
ace0303,2003,10,13,13,30,0,38.4328,-76.6163,1569.0,0.0,33.46
ace0303,2003,10,13,15,2,0,38.3745,-76.5052,1570.0,0.0,17.32
ace0303,2003,10,17,13,40,0,38.6434,-76.1685,1576.0,0.0,10.12
apr03atl,2003,4,26,15,40,0,9.8309,-54.0398,7733.0,4579.0,0.954
apr03atl,2003,4,30,20,30,0,13.0033,-55.9705,7734.0,4711.0,0.8
apr03atl,2003,5,3,15,0,0,8.4358,-55.6672,7735.0,2815.0,0.783
apr03atl,2003,5,4,14,40,0,7.5592,-54.195,7736.0,305.0,0.719
apr03atl,2003,5,5,15,10,0,9.5839,-55.6653,7737.0,3738.0,0.409
apr03atl,2003,5,6,15,45,0,12.1372,-56.0403,7738.0,4555.0,1.133
apr03atl,2003,5,7,13,55,0,12.1806,-56.0368,7739.0,4547.0,0.878
apr03atl,2003,5,10,16,25,0,11.4245,-56.507,7740.0,4473.0,1.277
apr03atl,2003,5,11,16,30,0,10.7122,-54.2322,7741.0,4532.0,0.323
apr03atl,2003,5,15,13,50,0,8.3498,-48.4797,7743.0,4518.0,0.192
apr03atl,2003,5,16,16,30,0,7.957,-49.9353,7744.0,4339.0,0.185
apr03atl,2003,5,17,12,5,0,6.7688,-52.762,7745.0,74.0,0.81
apr03atl,2003,5,19,18,35,0,9.9865,-57.844,7746.0,3124.0,0.194
apr03atl,2003,5,20,12,0,0,10.762,-55.376,7747.0,4315.0,0.174
bats173,2003,2,22,17,6,0,32.1844,-64.4933,462.0,3013.0,0.382
bats173,2003,2,25,16,14,0,32.1569,-64.0147,463.0,4431.0,0.437
bats174,2003,3,22,15,42,0,32.1694,-64.4986,471.0,3110.0,0.178
bats174a,2003,4,2,16,25,0,32.2519,-64.2636,472.0,4054.0,0.269
bats174a,2003,4,4,15,38,0,32.1689,-64.5003,476.0,3106.0,0.144
bats175,2003,4,25,15,32,0,32.0114,-64.5272,481.0,3674.0,0.064
bats176,2003,5,19,15,41,0,32.0128,-64.4158,483.0,3976.0,0.061
bats176,2003,5,20,16,53,0,31.6408,-64.195,485.0,4471.0,0.053
bats176,2003,5,22,16,4,0,32.0039,-64.1692,487.0,4387.0,0.062
bats177,2003,7,6,15,52,0,31.7922,-64.7508,493.0,4304.0,0.047
bats178,2003,7,14,16,15,0,32.0125,-64.6339,494.0,3652.0,0.048
bats178,2003,7,16,15,27,0,31.8664,-64.325,498.0,4324.0,0.045
bats178,2003,7,17,16,11,0,32.1581,-64.0106,499.0,4432.0,0.042
bats179,2003,8,12,16,29,0,31.6392,-64.1652,502.0,4514.0,0.037
bats179,2003,8,14,16,19,0,32.1575,-64.0081,505.0,4433.0,0.069
bats179,2003,8,15,16,21,0,32.1636,-64.6694,506.0,2462.0,0.053
bats180,2003,9,18,17,0,0,31.9117,-64.3519,507.0,4304.0,0.081
bats180,2003,9,19,16,24,0,31.6225,-64.1669,509.0,4500.0,0.067
bats180,2003,9,21,16,3,0,32.1608,-64.0071,512.0,4431.0,0.072
bats180,2003,9,22,16,14,0,31.8053,-64.7313,513.0,4298.0,0.05
bats181,2003,10,8,16,16,0,31.4989,-64.2331,518.0,4073.0,0.094
bats181,2003,10,9,16,22,0,32.1708,-64.3694,519.0,3724.0,0.09
bats181,2003,10,10,15,4,0,31.9997,-64.075,520.0,4453.0,0.08
bio0301,2003,3,31,14,50,0,39.3472,-76.1825,1541.0,0.0,2.71
bio0301,2003,3,31,17,35,0,39.243,-76.2353,1542.0,0.0,6.29
bio0301,2003,3,31,19,30,0,38.9955,-76.3673,1543.0,0.0,26.03
bio0301,2003,4,1,14,40,0,37.2673,-76.1487,1545.0,10.0,28.57
bio0301,2003,4,1,17,0,0,37.5893,-76.1622,1546.0,10.0,26.04
bio0301,2003,4,1,19,35,0,37.9232,-76.1807,1547.0,13.0,18.63
bio0301,2003,4,1,21,52,0,38.2507,-76.3248,1548.0,7.0,12.55
bio0301,2003,4,2,14,26,0,38.5657,-76.4425,1549.0,8.0,14.61
bio0302,2003,10,2,17,46,0,39.009,-76.3578,1520.0,3.0,5.98
bio0302,2003,10,2,19,38,0,38.7952,-76.4408,1521.0,5.0,7.51
bio0302,2003,10,3,13,28,0,37.2685,-76.152,1522.0,9.0,10.62
bio0302,2003,10,3,16,31,0,37.58,-76.167,1523.0,10.0,8.9
bio0302,2003,10,3,18,55,0,37.93,-76.1788,1524.0,14.0,10.16
bio0302,2003,10,3,21,16,0,38.2572,-76.337,1525.0,12.0,11.4
bio0302,2003,10,4,12,30,0,38.5675,-76.4423,1526.0,8.0,7.29
bio0302,2003,10,3,14,27,0,37.2685,-76.152,1530.0,9.0,11.76
cal0304,2003,4,7,17,54,0,29.847,-123.587,711.0,4158.0,0.089
cal0304,2003,4,9,17,18,0,32.652,-119.482,713.0,864.0,0.885
cal0304,2003,4,13,17,15,0,31.317,-123.753,716.0,4038.0,0.112
cal0304,2003,4,15,21,57,0,34.225,-119.412,718.0,44.0,2.251
cal0304,2003,4,16,18,50,0,34.155,-121.13,719.0,2274.0,8.372
cal0304,2003,4,17,16,58,0,32.823,-123.913,720.0,4297.0,0.08
cal0304,2003,4,18,19,30,0,34.395,-122.26,721.0,3965.0,0.28
cal0304,2003,4,22,0,28,0,31.657,-123.07,723.0,4153.0,0.09
cal0304,2003,4,22,20,24,0,30.847,-121.59,724.0,4177.0,0.11
car85,2003,1,14,15,51,0,10.5,-64.67,1737.0,1407.0,2.43
car87,2003,3,11,15,58,0,10.5,-64.67,1741.0,1407.0,3.0
car88,2003,4,8,15,54,0,10.5,-64.67,1742.0,1407.0,0.178
car89,2003,5,13,16,29,0,10.5,-64.67,1743.0,1407.0,0.468
car93,2003,9,10,15,51,0,10.5,-64.67,1744.0,1407.0,0.16
car94,2003,11,11,15,7,0,10.5,-64.67,1745.0,1407.0,0.145
car95,2003,12,9,16,24,0,10.5,-64.67,1746.0,1407.0,0.114
car96,2004,1,13,15,7,0,10.5,-64.67,1747.0,1407.0,1.026
horn_island_2003,2003,9,17,14,45,0,30.2271,-88.6701,2976.0,1.0,2.26923
