:BeginHeader
Using satellite data from SGLI/GCOM-C
Match-up generation datetime: 2021-12-02T14:53:13
Investigator: ermaure
Contact: maure@npec.or.jp
Missing: -999
Delimiter: comma
Header rows: 14
VALIDATION CRITERIA applied to this match-up
-Box size of satellite extract: 5 x 5 = 25 pixels
-Minimum percent valid satellite pixels: 25.0
-Maximum time difference between satellite and in situ: 3 h
-Level-2 flags considered for data screening: DATAMISS+LAND+ATMFAIL+CLDICE
:EndHeader
Filename,Sheetname,Station,Date,Time,Lat,Lon,CDOM [m$^{-1}$],CDOM$_{412(0.5+2)}$ [m$^{-1}$],CDOM$_{412}$ [m$^{-1}$],CDOM$_{440(0.5+2)}$ [m$^{-1}$],CDOM$_{440}$ [m$^{-1}$],Chla [mg m$^{-3}$],Chla$_{(0.5+2)}$ [mg m$^{-3}$],Datetime,Filename,Variable [Units],StartDatetime,EndDatetime,ValidPixels,InvalidPixels,Min,Max,Mean,STD,Median,PointValue,PixelValue01,PixelValue02,PixelValue03,PixelValue04,PixelValue05,PixelValue06,PixelValue07,PixelValue08,PixelValue09,PixelValue10,PixelValue11,PixelValue12,PixelValue13,PixelValue14,PixelValue15,PixelValue16,PixelValue17,PixelValue18,PixelValue19,PixelValue20,PixelValue21,PixelValue22,PixelValue23,PixelValue24,PixelValue25,PixelFlags01,PixelFlags02,PixelFlags03,PixelFlags04,PixelFlags05,PixelFlags06,PixelFlags07,PixelFlags08,PixelFlags09,PixelFlags10,PixelFlags11,PixelFlags12,PixelFlags13,PixelFlags14,PixelFlags15,PixelFlags16,PixelFlags17,PixelFlags18,PixelFlags19,PixelFlags20,PixelFlags21,PixelFlags22,PixelFlags23,PixelFlags24,PixelFlags25
OAD180821.xls,観測及び分析結果,6,8/20/2018,23:30:00,36.7933,137.155,-999,-999.0,-999.0,0.1318,-999.0,-999.0,4.977,2018-08-20T23:30:00,GC1SG1_201808210112C04510_L2SG_IWPRQ_2000.h5,CHLA [mg m^-3],2018-08-21T01:11:48,2018-08-21T01:16:36,25,0,1.64160001,4.30079985,2.21038385,1.20063039,2.14719987,2.15680003,3.37919998,2.26559997,2.11999989,1.93599999,1.82079995,2.03839993,2.13919997,2.19199991,2.12479997,1.97759998,2.52479982,2.26719999,2.15680003,2.15999985,2.08800006,4.30079985,2.31359982,2.15840006,2.14719987,2.10559988,1.64160001,1.95679998,2.21280003,2.16479993,2.13919997,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT
OAD180821.xls,観測及び分析結果,6,8/20/2018,23:30:00,36.7933,137.155,-999,-999.0,-999.0,0.1318,-999.0,-999.0,4.977,2018-08-20T23:30:00,GC1SG1_201808210112C04510_L2SG_IWPRQ_2000.h5,CDOM [m^-1],2018-08-21T01:11:48,2018-08-21T01:16:36,25,0,0.05290000,0.11180000,0.07940000,0.01166451,0.07940000,0.07810000,0.10170000,0.07250000,0.07430000,0.07310000,0.07620000,0.06280000,0.07060000,0.08190000,0.07990000,0.08010000,0.08280000,0.07520000,0.07810000,0.07430000,0.08450000,0.11180000,0.08430000,0.07979999,0.07790000,0.08600000,0.05290000,0.06450000,0.08470000,0.07940000,0.09570000,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT
OAD180821.xls,観測及び分析結果,6,8/20/2018,23:30:00,36.7933,137.155,-999,-999.0,-999.0,0.1318,-999.0,-999.0,4.977,2018-08-20T23:30:00,GC1SG1_201808210112C04510_L2SG_IWPRQ_2000.h5,TSM [g m^-3],2018-08-21T01:11:48,2018-08-21T01:16:36,25,0,2.46200013,3.40800023,2.93111992,0.20443121,2.92200017,2.90200019,3.40800023,3.00000024,2.84500003,2.64900017,2.46200013,2.97200012,2.92200017,2.86200023,2.75000024,2.58500004,3.18000007,2.96600008,2.90200019,2.85700011,2.74900007,3.01500010,2.79500008,2.99000025,2.91300011,2.88000011,3.29200006,3.11500025,3.07300019,3.03600025,3.06000018,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT
OAD180821.xls,観測及び分析結果,3,8/21/2018,0:07:00,36.7933,137.2533,-999,0.1003,-999.0,0.1003,-999.0,0.289,3.2436,2018-08-21T00:00:00,GC1SG1_201808210112C04510_L2SG_IWPRQ_2000.h5,CHLA [mg m^-3],2018-08-21T01:11:48,2018-08-21T01:16:36,22,3,0.04960000,1.53439999,0.42089479,2.91150751,0.63040000,0.10080000,0.63360000,-999,-999,-999,0.34719998,0.68799996,0.05120000,0.05280000,0.13759999,0.80960000,0.70239997,0.04960000,0.10080000,0.23199999,1.04479992,0.97119999,0.38079998,0.59679997,0.56639999,0.62720001,1.30879998,0.73280001,1.01600003,1.53439999,1.18559992,STRAYLIGHT,CLDICE+STRAYLIGHT,CLDICE+STRAYLIGHT,CLDICE+STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,CLDAFFCTD+STRAYLIGHT,CLDAFFCTD+STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT
OAD180821.xls,観測及び分析結果,3,8/21/2018,0:07:00,36.7933,137.2533,-999,0.1003,-999.0,0.1003,-999.0,0.289,3.2436,2018-08-21T00:00:00,GC1SG1_201808210112C04510_L2SG_IWPRQ_2000.h5,CDOM [m^-1],2018-08-21T01:11:48,2018-08-21T01:16:36,21,4,0.01580000,0.04940000,0.02973333,0.00881618,0.02870000,0.02850000,0.03250000,-999,-999,-999,0.02280000,0.02710000,0.01580000,-999,0.01960000,0.02920000,0.02870000,0.01960000,0.02850000,0.02600000,0.02880000,0.03510000,0.02370000,0.02360000,0.02980000,0.02870000,0.04940000,0.03060000,0.02910000,0.04740000,0.04840000,STRAYLIGHT,CLDICE+STRAYLIGHT,CLDICE+STRAYLIGHT,CLDICE+STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,CLDAFFCTD+STRAYLIGHT,CLDAFFCTD+STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT
OAD180821.xls,観測及び分析結果,3,8/21/2018,0:07:00,36.7933,137.2533,-999,0.1003,-999.0,0.1003,-999.0,0.289,3.2436,2018-08-21T00:00:00,GC1SG1_201808210112C04510_L2SG_IWPRQ_2000.h5,TSM [g m^-3],2018-08-21T01:11:48,2018-08-21T01:16:36,22,3,1.89400005,4.02800035,2.52895451,0.39333817,2.45600009,4.02800035,3.02000022,-999,-999,-999,1.89400005,2.38600016,2.21500015,2.71700025,2.45800018,2.52600002,2.50200009,2.63900018,4.02800035,2.78300023,2.45600009,2.38400006,2.44900012,2.16400003,2.41800022,2.48200011,2.38700008,2.55700016,2.28600001,2.45600009,2.43000007,STRAYLIGHT,CLDICE+STRAYLIGHT,CLDICE+STRAYLIGHT,CLDICE+STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,CLDAFFCTD+STRAYLIGHT,CLDAFFCTD+STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT
OAD180821.xls,観測及び分析結果,5,8/21/2018,2:25:00,36.8717,137.2533,-999,-999.0,-999.0,0.0429,-999.0,2.411,0.273,2018-08-21T02:25:00,GC1SG1_201808210112C04510_L2SG_IWPRQ_2000.h5,CHLA [mg m^-3],2018-08-21T01:11:48,2018-08-21T01:16:36,22,3,0.00000000,0.62559998,0.00000000,nan,0.26319999,-999,-999,0.19360000,0.52639997,0.61759996,0.35839999,-999,0.28320000,0.15519999,0.38239998,0.25759998,-999,0.23840000,0.08000000,0.00000000,0.00000000,0.49759999,0.28639999,0.25119999,0.26879999,0.34719998,0.13440000,0.21759999,0.31360000,0.23680000,0.62559998,CLDICE+ATM-METHOD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDICE+ATM-METHOD,,,,STRAYLIGHT,CLDICE,,STRAYLIGHT,CLDAFFCTD+NEGNLW+ATM-METHOD,CLDAFFCTD+NEGNLW+ATM-METHOD,,STRAYLIGHT,STRAYLIGHT,,,,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,
OAD180821.xls,観測及び分析結果,5,8/21/2018,2:25:00,36.8717,137.2533,-999,-999.0,-999.0,0.0429,-999.0,2.411,0.273,2018-08-21T02:25:00,GC1SG1_201808210112C04510_L2SG_IWPRQ_2000.h5,CDOM [m^-1],2018-08-21T01:11:48,2018-08-21T01:16:36,20,5,0.01040000,0.03560000,0.01766000,0.00615690,0.01635000,-999,-999,0.01470000,0.02330000,0.03160000,0.01700000,-999,0.01570000,0.01260000,0.01660000,0.01370000,-999,0.01330000,0.01040000,-999,-999,0.01990000,0.01680000,0.01610000,0.01710000,0.01990000,0.01100000,0.01370000,0.01920000,0.01500000,0.03560000,CLDICE+ATM-METHOD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDICE+ATM-METHOD,,,,STRAYLIGHT,CLDICE,,STRAYLIGHT,CLDAFFCTD+NEGNLW+ATM-METHOD,CLDAFFCTD+NEGNLW+ATM-METHOD,,STRAYLIGHT,STRAYLIGHT,,,,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,
OAD180821.xls,観測及び分析結果,5,8/21/2018,2:25:00,36.8717,137.2533,-999,-999.0,-999.0,0.0429,-999.0,2.411,0.273,2018-08-21T02:25:00,GC1SG1_201808210112C04510_L2SG_IWPRQ_2000.h5,TSM [g m^-3],2018-08-21T01:11:48,2018-08-21T01:16:36,20,5,0.64100003,1.46600008,0.92660010,0.18932733,0.89350003,-999,-999,1.01900005,1.02700007,0.92600006,0.94000006,-999,1.12500000,0.84400004,1.03000009,0.88300002,-999,0.90400004,0.64100003,-999,-999,1.46600008,1.20600009,1.07700002,0.78200006,0.72800004,0.72200006,0.76700002,0.81800002,0.79700005,0.83000004,CLDICE+ATM-METHOD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDAFFCTD,CLDICE+ATM-METHOD,,,,STRAYLIGHT,CLDICE,,STRAYLIGHT,CLDAFFCTD+NEGNLW+ATM-METHOD,CLDAFFCTD+NEGNLW+ATM-METHOD,,STRAYLIGHT,STRAYLIGHT,,,,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,
OAD180821.xls,観測及び分析結果,4,8/21/2018,2:47:00,36.8317,137.2533,-999,-999.0,-999.0,0.0458,-999.0,-999.0,0.945,2018-08-21T02:47:00,GC1SG1_201808210112C04510_L2SG_IWPRQ_2000.h5,CHLA [mg m^-3],2018-08-21T01:11:48,2018-08-21T01:16:36,24,1,0.19839999,9.38399982,0.76722180,1.94895578,0.71999997,-999,-999,0.47839999,0.44000000,0.62879997,0.75680000,0.58399999,0.71039999,0.69439995,1.04320002,0.86559999,0.19839999,0.57440001,0.72799999,1.05599999,0.94879997,0.44159999,0.43519998,0.65279996,0.79839998,0.85439998,0.71199995,9.38399982,1.96959996,0.80159998,0.88479996,CLDICE,CLDAFFCTD,,STRAYLIGHT,STRAYLIGHT,CLDAFFCTD,,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,STRAYLIGHT,,NEGNLW+ATM-METHOD,NEGNLW+ATM-METHOD,STRAYLIGHT,STRAYLIGHT
