filename,time_start,time_end,pixel_count,valid,invalid,min,max,mean,median,std,pixel_value
GS202001_CHL_TB_month.nc,20200101T000000Z,20200131T000000Z,25,25,0,1.256692,2.356800,1.863711,2.049600,1.235028,2.148800
GS202002_CHL_TB_month.nc,20200201T000000Z,20200229T000000Z,25,25,0,1.146904,1.614685,1.336149,1.339707,1.101833,1.501985
GS202003_CHL_TB_month.nc,20200301T000000Z,20200331T000000Z,25,25,0,2.377442,3.095651,2.634206,2.605007,1.073185,2.619546
GS202004_CHL_TB_month.nc,20200401T000000Z,20200430T000000Z,25,25,0,1.456838,2.655163,1.743926,1.672628,1.147138,1.672628
GS202005_CHL_TB_month.nc,20200501T000000Z,20200531T000000Z,25,25,0,0.806655,1.146804,1.008699,1.025631,1.090664,1.021939
GS202006_CHL_TB_month.nc,20200601T000000Z,20200630T000000Z,25,25,0,2.998447,6.383039,3.699990,3.502832,1.200608,3.708431
GS202007_CHL_TB_month.nc,20200701T000000Z,20200731T000000Z,25,25,0,3.038400,6.024000,4.465520,4.492851,1.116727,4.439904
GS202008_CHL_TB_month.nc,20200801T000000Z,20200831T000000Z,25,25,0,1.002772,1.739134,1.263197,1.276626,1.139130,1.343053
GS202009_CHL_TB_month.nc,20200901T000000Z,20200930T000000Z,25,25,0,1.312052,6.704495,2.634773,2.335090,1.461606,2.156018
GS202010_CHL_TB_month.nc,20201001T000000Z,20201031T000000Z,25,25,0,0.638370,1.044894,0.882475,0.975968,1.159625,0.980657
GS202011_CHL_TB_month.nc,20201101T000000Z,20201130T000000Z,25,25,0,0.847107,1.357306,1.077126,1.057141,1.141512,1.110418
GS202012_CHL_TB_month.nc,20201201T000000Z,20201231T000000Z,25,25,0,0.519199,1.079970,0.765951,0.835448,1.235740,1.079970
