filename,time_start,time_end,pixel_count,valid,invalid,min,max,mean,median,std
GS202001_CHL_TB_month.nc,20200101T000000Z,20200131T000000Z,4620,3809,811,0.120000,17.545597,0.812540,0.699198,1.563392
GS202002_CHL_TB_month.nc,20200201T000000Z,20200229T000000Z,4620,4619,1,0.070545,3.443531,0.691067,0.627579,1.325931
GS202003_CHL_TB_month.nc,20200301T000000Z,20200331T000000Z,4620,4620,0,0.520434,4.644248,1.938633,1.908180,1.325803
GS202004_CHL_TB_month.nc,20200401T000000Z,20200430T000000Z,4620,4620,0,0.161068,6.729978,1.152993,1.057710,1.454290
GS202005_CHL_TB_month.nc,20200501T000000Z,20200531T000000Z,4620,4620,0,0.255863,1.814776,0.596723,0.577854,1.205143
GS202006_CHL_TB_month.nc,20200601T000000Z,20200630T000000Z,4620,4620,0,0.057778,5.141714,0.674406,0.549511,1.705727
GS202007_CHL_TB_month.nc,20200701T000000Z,20200731T000000Z,4620,4239,381,0.075200,104.854416,2.203016,1.916800,2.649156
GS202008_CHL_TB_month.nc,20200801T000000Z,20200831T000000Z,4620,4620,0,0.200432,1.709266,0.508374,0.482881,1.537724
GS202009_CHL_TB_month.nc,20200901T000000Z,20200930T000000Z,4620,4620,0,0.096534,3.243204,0.581865,0.561609,2.059748
GS202010_CHL_TB_month.nc,20201001T000000Z,20201031T000000Z,4620,4620,0,0.077736,1.964605,0.419008,0.367249,1.551899
GS202011_CHL_TB_month.nc,20201101T000000Z,20201130T000000Z,4620,4620,0,0.270394,4.435139,0.606672,0.513142,1.478409
GS202012_CHL_TB_month.nc,20201201T000000Z,20201231T000000Z,4620,4100,520,0.004800,104.854416,0.619281,0.447443,2.893452
