filename,time_start,time_end,Chl-a [mg m$^{-3}$],Day$_{Max}$
Y19982020_CHL_NW_month_Max.nc,1998-01-15T00:00:00Z,1998-12-16T00:00:00Z,6.16595,197
Y19982020_CHL_NW_month_Max.nc,1999-01-15T00:00:00Z,1999-12-16T00:00:00Z,6.16595,289
Y19982020_CHL_NW_month_Max.nc,2000-01-15T00:00:00Z,2000-12-16T00:00:00Z,3.672823,290
Y19982020_CHL_NW_month_Max.nc,2001-01-15T00:00:00Z,2001-12-16T00:00:00Z,4.677351,258
Y19982020_CHL_NW_month_Max.nc,2002-01-15T00:00:00Z,2002-12-16T00:00:00Z,5.559043,197
Y19982020_CHL_NW_month_Max.nc,2003-01-15T00:00:00Z,2003-12-16T00:00:00Z,7.328245,197
Y19982020_CHL_NW_month_Max.nc,2004-01-15T00:00:00Z,2004-12-16T00:00:00Z,11.091748,198
Y19982020_CHL_NW_month_Max.nc,2005-01-15T00:00:00Z,2005-12-16T00:00:00Z,14.621772,197
Y19982020_CHL_NW_month_Max.nc,2006-01-15T00:00:00Z,2006-12-16T00:00:00Z,4.365158,75
Y19982020_CHL_NW_month_Max.nc,2007-01-15T00:00:00Z,2007-12-16T00:00:00Z,16.78804,228
Y19982020_CHL_NW_month_Max.nc,2008-01-15T00:00:00Z,2008-12-16T00:00:00Z,5.956621,259
Y19982020_CHL_NW_month_Max.nc,2009-01-15T00:00:00Z,2009-12-16T00:00:00Z,9.015711,228
Y19982020_CHL_NW_month_Max.nc,2010-01-15T00:00:00Z,2010-12-16T00:00:00Z,10.351422,166
Y19982020_CHL_NW_month_Max.nc,2011-01-15T00:00:00Z,2011-12-16T00:00:00Z,3.935501,228
Y19982020_CHL_NW_month_Max.nc,2012-01-15T00:00:00Z,2012-12-16T00:00:00Z,5.956621,198
Y19982020_CHL_NW_month_Max.nc,2013-01-15T00:00:00Z,2013-12-16T00:00:00Z,11.481536,166
Y19982020_CHL_NW_month_Max.nc,2014-01-15T00:00:00Z,2014-12-16T00:00:00Z,4.216965,75
Y19982020_CHL_NW_month_Max.nc,2015-01-15T00:00:00Z,2015-12-16T00:00:00Z,12.302688,136
Y19982020_CHL_NW_month_Max.nc,2016-01-15T00:00:00Z,2016-12-16T00:00:00Z,14.125375,351
Y19982020_CHL_NW_month_Max.nc,2017-01-15T00:00:00Z,2017-12-16T00:00:00Z,2.42661,319
Y19982020_CHL_NW_month_Max.nc,2018-01-15T00:00:00Z,2018-12-16T00:00:00Z,5.754399,258
Y19982020_CHL_NW_month_Max.nc,2019-01-15T00:00:00Z,2019-12-16T00:00:00Z,5.956621,258
Y19982020_CHL_NW_month_Max.nc,2020-01-15T00:00:00Z,2020-12-16T00:00:00Z,6.382635,260
